Section ID & Heading,Recommendation / Requirement,Normative Keyword,Code,Rationale/Context,Subtheme,Theme
3.2 SBOM Creation: When,"A new SBOM should be created when the Component is updated or versioned, including when new upstream Components are added.",SHOULD,Create new SBOM on update/version changes,,Lifecycle Management,SBOM Operations & Lifecycle
3.2 SBOM Creation: When,"Ideally, changes to Components are indicated by a change in the Version String Attribute.",RECOMMENDED,Indicate changes via version string,,Lifecycle Management,SBOM Operations & Lifecycle
3.2 SBOM Creation: When,Maintaining a current SBOM with information and Baseline Attributes that are as complete as possible is essential.,REQUIRED,Maintain up-to-date SBOMs,,Lifecycle Management,SBOM Operations & Lifecycle
3.3 SBOM Exchange,It is necessary to exchange SBOM information.,REQUIRED,Exchange SBOMs,,SBOM Distribution,SBOM Operations & Lifecycle
3.3 SBOM Exchange,"As part of delivering the Component, the Supplier also delivers the SBOM.",REQUIRED,Deliver SBOM with components,,SBOM Distribution,SBOM Operations & Lifecycle
3.3 SBOM Exchange,They can be provided as additional files as part of a Component’s distribution or delivery.,MAY,Provide SBOMs as additional files,,SBOM Distribution,SBOM Operations & Lifecycle
3.3 SBOM Exchange,"For devices with storage and power constraints, one option is to provide a URL to look up SBOM information on a Supplier’s website.",MAY,Provide SBOM URLs for constrained devices,,SBOM Distribution,SBOM Operations & Lifecycle
3.3 SBOM Exchange,Dynamic access to an SBOM may be a good option for such devices as well.,MAY,Allow dynamic SBOM access for constrained devices,,SBOM Distribution,SBOM Operations & Lifecycle
3.4 Software Supply Chain Rules,Suppliers create SBOMs for Components the Suppliers develop themselves.,REQUIRED,Suppliers create SBOMs for own components,,Supply Chain Practices,SBOM Operations & Lifecycle
3.4 Software Supply Chain Rules,Suppliers define these Components.,REQUIRED,Suppliers define components,,Supply Chain Practices,SBOM Operations & Lifecycle
3.4 Software Supply Chain Rules,"For upstream Components, Suppliers obtain SBOMs from the appropriate upstream Suppliers.",REQUIRED,Obtain upstream SBOMs,,Supply Chain Practices,SBOM Operations & Lifecycle
3.4 Software Supply Chain Rules,"If upstream SBOMs are not available, the Supplier or other authors can create SBOMs, even when this involves researching the appropriate entry or omitting Baseline Attributes.",MAY,Create SBOMs for missing upstream info,,Supply Chain Practices,SBOM Operations & Lifecycle
3.4 Software Supply Chain Rules,"An SBOM must list a Primary Component, which defines the subject of the SBOM.",MUST,SBOM must list primary component,,SBOM Metadata,Component & SBOM Attributes
3.4 Software Supply Chain Rules,An SBOM lists Components that are: Originally created by a Supplier who is the authoritative source of the software.,REQUIRED,List components from original suppliers,,Supply Chain Practices,SBOM Operations & Lifecycle
3.4 Software Supply Chain Rules,An SBOM lists Components that are: Integrated as a Component from an upstream Supplier who also provides an SBOM.,REQUIRED,List upstream components with SBOM,,Supply Chain Practices,SBOM Operations & Lifecycle
